id,name,university,domain,depts,field,url
25054,Sandra Crespo,Michigan State University,msu.edu,"Education, Curriculum and Instruction</li><li>Curriculum and Instruction</li><li>Learning and Instruction</li><li>Curriculum, Instruction and Teacher Education</li><li>Instruction and Learning</li><li>Instruction and Learning, Early Intervention",Curriculum and Instruction,https://www.msu.edu/~crespo/biosketch.htm
61136,Dani Byrd,University of Southern California,usc.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,http://dornsife.usc.edu/dani-byrd
57300,Teresa Orenic,University of Illinois Chicago,uic.edu,"Biology</li><li>Biological Sciences</li><li>Biology: Medical Sciences, Division of</li><li>Integrative Biology</li><li>Biology, Molecular and Cellular</li><li>Biological Science</li><li>Biology, Organismic and Evolutionary</li><li>Biology </li><li>Biology: Medical Sciences</li><li>Free Radical and Radiation Biology",Biology,http://bios.uic.edu/bios/people/faculty/teresa-vales-orenic
1087,Monica Green,Arizona State University,asu.edu,"History</li><li>History and Philosophy of Science</li><li>History of Science</li><li>History of American Civilization</li><li>Conceptual and Historical Studies of Science</li><li>History of Science, Technology and Medicine</li><li>History (Science Studies)</li><li>History of Science and Technology</li><li>History and Sociology of Science</li><li>History of Culture",History,https://webapp4.asu.edu/directory/person/384868
28769,David R Roediger,University of Minnesota,umn.edu,"History</li><li>History and Philosophy of Science</li><li>History of Science</li><li>History of American Civilization</li><li>Conceptual and Historical Studies of Science</li><li>History of Science, Technology and Medicine</li><li>History (Science Studies)</li><li>History of Science and Technology</li><li>History and Sociology of Science</li><li>History of Culture",History,http://www.upress.umn.edu/book-division/books/debating-the-end-of-history
53129,Ben Hardekopf,University of California Santa Barbara,ucsb.edu,Computer Science</li><li>Computer and Information Science</li><li>Computer Science (Software Engineering)</li><li>Computer and Information Technology</li><li>Computer Science (Computer Networks)</li><li>Computer Science and Engineering</li><li>Computer Science and Linguistics</li><li>Computer Science (Intelligent Robotics)</li><li>Computer Science and Cognitive Science</li><li>Computer Science (Intelligent Robotics),Computer Sciences,http://www.cs.ucsb.edu/~benh/
14388,Gregory Nagy,Harvard University,harvard.edu,Classics</li><li>Classical Studies</li><li>The Classics</li><li>Classical Languages and Literatures</li><li>Ancient History</li><li>Classical and Near Eastern Studies</li><li>Classics: Classical Languages and Literatures</li><li>Classics: Ancient Mediterranean World</li><li>Classical Archaeology</li><li>Classical Philology,Classics,http://classics.fas.harvard.edu/people/gregory-nagy
44851,John E Breen,University of Texas Austin,utexas.edu,"Civil Engineering</li><li>Structural Engineering</li><li>Civil, Construction and Environmental Engineering</li><li>Civil, Structural and Environmental Engineering</li><li>Environmental Engineering</li><li>Civil and Environmental Engineering</li><li>Transportation Technology and Policy</li><li>Civil and Materials Engineering</li><li>Civil Engineering(Water Resources)</li><li>Civil Engineering(Structural Engineering)",Civil and Environmental Engineering,http://www.caee.utexas.edu/alumni/academy/49-alumni/academy/129-breen
4220,Eric J Korpela,University of California Berkeley,berkeley.edu,"Physics</li><li>Physics and Astronomy</li><li>Physics (Biophysics)</li><li>Plasma Physics</li><li>Applied Physics</li><li>Applied and Engineering Physics</li><li>Physics-Biophysics</li><li>Physics, Nuclear",Physics,http://setiathome.berkeley.edu/~korpela/
28710,David A Bernlohr,University of Minnesota,umn.edu,"Biochemistry</li><li>Integrated Life Sciences</li><li>Molecular and Cell Biology</li><li>Biological Sciences</li><li>Molecular Biology</li><li>Genetics and Molecular Biology</li><li>Biophysics</li><li>Biochemistry, Biophysics and Molecular Biology</li><li>Biochemistry, Molecular Biology and Biophysics</li><li>Molecular, Cellular, Developmental Biology and Genetics</li><li>Comparative Pathology</li><li>Genetics, Development and Cell Biology</li><li>Biochemistry and Biophysics</li><li>Genetic, Molecular and Cell Biology</li><li>Molecular Cancer Biology</li><li>Molecular, Cellular and Developmental Biology</li><li>Chemical Physics</li><li>Molecular and Cellular Biology</li><li>Biochemistry-ALS</li><li>Biochemistry and Molecular Biology</li><li>Comparative and Molecular Biosciences</li><li>Comparative Pathobiology</li><li>Roswell Park . Cellular and Molecular Biology</li><li>Molecular, Cell, and Dev Biology","Biochemistry, Biophysics, and Structural Biology",http://cbs.umn.edu/contacts/david-bernlohr-0
1308,Rosalynn Voaden,Arizona State University,asu.edu,"English Language and Literature</li><li>Literature</li><li>Language, Reading and Culture</li><li>Languages and Cultures</li><li>Literature and Creative Writing</li><li>English</li><li>English and American Indian Studies</li><li>Language, Literacy and Culture</li><li>Literature in English",English Language and Literature,https://webapp4.asu.edu/directory/person/87819
12890,Betsy J Becker,Florida State University,fsu.edu,Educational Psychology</li><li>Educational Psychology and Learning Systems</li><li>Educational Psychology and Educational Technology</li><li>Educational Technology</li><li>Education (Psychology and Technology)</li><li>School Psychology,Educational Psychology,https://experts.fsu.edu/expert/betsy-becker
29490,John Pastor,University of Minnesota,umn.edu,"Ecology</li><li>Ecology, Evolution and Marine Biology</li><li>Ecology, Evolution and Organismal Biology</li><li>Ecology, Evolution and Behavior</li><li>Ecology and Evolutionary Biology</li><li>Population Biology</li><li>Behavior, Ecology, Evolution and Systematics</li><li>Evolutionary Biology</li><li>Ecology and Evolution</li><li>Social Ecology",Ecology and Evolutionary Biology,http://sociology.la.psu.edu/people/amv5430
53850,Mark Rodwell,University of California Santa Barbara,ucsb.edu,"Electrical Engineering</li><li>Electrical Engineering and Computer Sciences</li><li>Electrical Engineering (Communication Theory and Systems)</li><li>Electrical Engineering (Electronic Circuits and Systems)</li><li>Electrical Engineering (Signal and Image Processing)</li><li>Electrical Engineering (Photonics)</li><li>Electrical and Computer Engineering</li><li>Computer Engineering</li><li>Electrical Engineering (Applied Physics)</li><li>Electrical and Systems Engineering</li><li>Electrical Engineering (Electrical Circuits and Systems)</li><li>Electrical Engineering (VLSI Design)</li><li>Electrical Engineering (Intelligent Systems, Robotics and Controls)",Electrical and Computer Engineering,http://www.ece.ucsb.edu/Faculty/rodwell/rodwell_info/rodwell.html
