id,name,university,domain,depts,field,dupct,url
20100,J T Leverty,University of Iowa,uiowa.edu,"Statistics</li><li>Statistical Science</li><li>Measurement, Statistics and Evaluation</li><li>Statistics and Applied Probability</li><li>Biostatistics - Public Health</li><li>Survey Methodology</li><li>Mathematical Statistics</li><li>Measurement and Quantitative Methods</li><li>Biostatistics and Public Health</li><li>Biostatistics",Statistics and Probability,1,http://tippie.uiowa.edu/vaughan/newsletter/spr13_leverty.html
20415,Laurence J Fuortes,University of Iowa,uiowa.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.medicine.uiowa.edu/dept_secondary_apr.aspx?appointment=Internal%20Medicine&id=fuortes
20442,Linda J C Brown,University of Iowa,uiowa.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://www.medicine.uiowa.edu/dept_primary_apr.aspx?appointment=Pediatrics&id=cooperl
20458,Loreen Herwaldt,University of Iowa,uiowa.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.medicine.uiowa.edu/dept_primary_apr.aspx?appointment=Internal%20Medicine&division=Infectious%20Diseases
20546,Mary Trachsel,University of Iowa,uiowa.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,http://clas.uiowa.edu/rhetoric/resources/news/professor-mary-trachsel-has-been-appointed-obermann-fellow-residence-spring-2016
20682,Paul A Romitti,University of Iowa,uiowa.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://www.public-health.uiowa.edu/epi-faculty-list/
20738,Rachel Williams,University of Iowa,uiowa.edu,"Education</li><li>Teaching and Learning</li><li>Teaching and Teacher Education</li><li>Teacher Education</li><li>Work, Community and Family Education</li><li>Science Education</li><li>Science and Mathematics Education</li><li>Teaching and Learning, Policy and Leadership</li><li>Teaching, Learning, Policy and Leadership</li><li>Education Teaching and Learning",Teacher Education and Professional Development,1,http://clas.uiowa.edu/gwss/people/rachel-williams
20802,Roger A Williamson,University of Iowa,uiowa.edu,Epidemiology</li><li>Public Health</li><li>Environmental Health Science</li><li>Health Sciences</li><li>Maternal and Child Health</li><li>Environmental Health</li><li>Health Behavior and Health Education</li><li>Epidemiology and Biostatistics</li><li>Biological Sciences in Public Health</li><li>Health Behavior and Education</li><li>International Health</li><li>Public and Community Health</li><li>Health Informatics</li><li>Occupational and Environmental Health</li><li>Population Health</li><li>Public Health (Epidemiology)</li><li>Public Health (Health Behavior)</li><li>Clinical Investigation,Public Health,1,http://ir.uiowa.edu/cgi/viewcontent.cgi?article=1042&context=pog
20983,Tim J Brennan,University of Iowa,uiowa.edu,Psychology</li><li>Psychological Sciences</li><li>Human Development and Family Studies</li><li>Psychological and Quantitative Foundations</li><li>Human Development</li><li>Psychology and Neuroscience</li><li>Cognitive Science</li><li>Applied Psychology</li><li>Counseling Psychology</li><li>Clinical Psychology </li><li>Child Psychology</li><li>Comparative Human Development</li><li>Child Development and Family Studies</li><li>Psychological and Brain Sciences</li><li>Family and Consumer Sciences Education and Studies</li><li>Family and Child Sciences,Psychology,1,http://neuroscience.grad.uiowa.edu/faculty/timothy-brennan
21033,Vilia M Tarvydas,University of Iowa,uiowa.edu,"Counseling and Personnel Services</li><li>Counseling, School and Educational Psychology</li><li>Counseling, Clinical and School Psychology</li><li>Counseling, Rehabilitation and Student Development</li><li>Education (Counseling Psychology)</li><li>Counseling, Higher Education and Special Education",Student Counseling and Personnel Services,1,http://www2.education.uiowa.edu/directories/person?id=sauerbrg
